,INSTNM,ZIP,CITY,STABBR,LATITUDE,LONGITUDE
92,Universal Technical Institute of Massachusetts Inc,2062,Norwood,MA,42.209969,-71.202405
93,Salter School-Fall River,2720,Fall River,MA,41.69847,-71.153315
94,Millennium Training Institute,1801,Woburn,MA,42.495678000000005,-71.12749000000001
95,Tri County Regional Vocational Technical High School,2038,Franklin,MA,42.094957,-71.421577
96,Salter College-Chicopee,01020-3744,Chicopee,MA,42.16137,-72.527413
97,New England Tractor Trailer Training School of Massachusetts,01845-1048,North Andover,MA,42.730818,-71.115989
98,Northeastern University Lifelong Learning Network,2115,Boston,MA,42.339477,-71.087841
99,Jupiter Beauty Academy,02122-2834,Boston,MA,42.305343,-71.057468
100,American Academy of Personal Training-Boston Campus,02116-3631,Boston,MA,42.350664,-71.076196
105,Continental Academie of Hair Design-Hudson,3051,Hudson,NH,42.7768,-71.44515
106,Empire Beauty School-Laconia,3246,Laconia,NH,43.527157,-71.469612
107,Empire Beauty School-Somersworth,3878,Somersworth,NH,43.23004,-70.881563
108,University of New Hampshire-School of Law,03301-4197,Concord,NH,43.207371,-71.545152
109,Southern New Hampshire University,03106-1045,Manchester,NH,43.038922,-71.451842
110,New Hampshire Institute for Therapeutic Arts,3051,Hudson,NH,42.745262,-71.426722
111,University of New Hampshire at Manchester,03101-1113,Manchester,NH,42.987209,-71.468755
112,NHTI-Concord's Community College,03301-7412,Concord,NH,43.223621,-71.531979
113,Lakes Region Community College,3246,Laconia,NH,43.507568,-71.462602
114,Manchester Community College,03102-8518,Manchester,NH,43.019822999999995,-71.48353399999999
115,Rivier University,3060,Nashua,NH,42.738676,-71.45626
116,St Joseph School of Nursing,3060,Nashua,NH,42.750142,-71.478401
117,Granite State College,03301-3471,Concord,NH,43.19291,-71.527241
118,Thomas More College of Liberal Arts,3054,Merrimack,NH,42.80683,-71.48437
119,New Hampshire Institute of Art,03104-4858,Manchester,NH,42.992953,-71.458947
120,Seacoast Career School-Manchester Campus,3101,Manchester,NH,42.997766,-71.468777
121,Empire Beauty School-Hooksett,3106,Hooksett,NH,43.054992,-71.44412
122,Salter School of Nursing and Allied Health,3103,Manchester,NH,42.997765,-71.468655
123,Harmony Health Care Institute,03054-0000,Merrimack,NH,42.804167,-71.488336
