,Restaurant #,Restaurant Name,VP OPS,Area Manager,Restaurant Phone,Address,City,State,Zip Code,General Manager,lat,lon
29,5177,Taunton,Jim Croteau,Dilyan Petrov,508-880-7444,"289 Winthrop St., Rt. 44, Taunton, MA, Taunton, MA, Taunton, MA, Taunton, MA, Taunton, MA",Taunton,MA,2780,Sid Silva,41.889008,-71.12016
30,5183,New Bedford,Jim Croteau,Dilyan Petrov,508-998-7818,"902 Mt. Pleasant St, New Bedford, MA, New Bedford, MA, New Bedford, MA, New Bedford, MA, New Bedford, MA",New Bedford,MA,2745,Nicole DeMelo,41.6750088,-70.9446371
31,5191,Laconia,Jim Croteau,Rudy Byram,603-524-6300,"1056 Union Ave., Rt. 3, Laconia, NH, Laconia, NH, Laconia, NH, Laconia, NH, Laconia, NH",Laconia,NH,3246,Elizabeth Rockwell,43.554065,-71.456966
32,5193,Cromwell,Jim Croteau,Donna Brunton,860-635-7555,"34 Shunpike Rd., Rt. 3, Cromwell, CT, Cromwell, CT, Cromwell, CT, Cromwell, CT, Cromwell, CT",Cromwell,CT,6416,Jessica Perla,41.603788,-72.682891
33,5219,Smithfield,Jim Croteau,Jim Poirier,401-231-2202,"375 Putnam Pike, Rt. 44, Smithfield, RI, Smithfield, RI, Smithfield, RI, Smithfield, RI, Smithfield, RI",Smithfield,RI,2917,Dawn Crothers,41.87016,-71.525126
34,5221,S. Dennis,Jim Croteau,Dilyan Petrov,508-394-2030,"485 Route 134S, S. Dennis, MA, S. Dennis, MA, S. Dennis, MA, S. Dennis, MA, S. Dennis, MA",S. Dennis,MA,2660,Charles Wheeler,41.740279,-70.21891
35,5222,Framingham,Jim Croteau,Donna Brunton,508-626-2333,"665 Cochituate Rd., Framingham, MA, Framingham, MA, Framingham, MA, Framingham, MA, Framingham, MA",Framingham,MA,1701,Christie Yelinek,42.307549,-71.3849476
36,5229,Woonsocket,Jim Croteau,Jim Poirier,401-762-0390,"1396 Park Ave., Woonsocket, RI, Woonsocket, RI, Woonsocket, RI, Woonsocket, RI, Woonsocket, RI",Woonsocket,RI,2895,Michael Amaral,41.9846578,-71.5156222
37,5272,"Waltham, River St.",Jim Croteau,Crystal Miele,781-893-0034,"49 River St., Waltham, MA, Waltham, MA, Waltham, MA, Waltham, MA, Waltham, MA",Waltham,MA,2453,Bahije Al-Akoum,42.3688682,-71.2178164
38,5278,Avon,Jim Croteau,Meg Nelson,508-580-8338,"600 Page St., Avon Ind. Pk., Avon, MA, Avon, MA, Avon, MA, Avon, MA, Avon, MA",Avon,MA,2322,Kim Deegan,42.142454,-71.062759
39,5280,"Warwick, Jefferson Blvd.",Jim Croteau,Jim Poirier,401-737-6660,"385 Jefferson Blvd., Warwick, RI, Warwick, RI, Warwick, RI, Warwick, RI, Warwick, RI",Warwick,RI,2886,Kevin Badway,41.737225,-71.440046
40,5285,"Manchester, Second St.",Jim Croteau,Rudy Byram,603-668-2612,"900 Second St., Manchester, NH, Manchester, NH, Manchester, NH, Manchester, NH, Manchester, NH",Manchester,NH,3101,Angela McGee,42.968623,-71.479388
41,5288,"Manchester, Perimeter Rd.",Jim Croteau,Rudy Byram,603-641-0322,"8 Perimeter Road, Manchester, NH, Manchester, NH, Manchester, NH, Manchester, NH, Manchester, NH",Manchester,NH,3103,Amanda Stavrou,42.930835,-71.448486
42,5290,Plainville,Jim Croteau,Meg Nelson,508-695-6469,"2 Taunton St., Rt. 152, Plainville, MA, Plainville, MA, Plainville, MA, Plainville, MA, Plainville, MA",Plainville,MA,2762,Open,42.008547,-71.303573
43,5299,"Quincy, Hancock St.",Jim Croteau,Crystal Miele,617-689-0522,"270 Hancock St., Rt. 3A, Quincy, MA, Quincy, MA, Quincy, MA, Quincy, MA, Quincy, MA",Quincy,MA,2169,Tyler Holland,42.28112,-71.03532
44,5343,Vernon,Jim Croteau,Donna Brunton,860-872-6140,"200 Hartford Tpk., Vernon, CT, Vernon, CT, Vernon, CT, Vernon, CT, Vernon, CT",Vernon,CT,6066,Annmarie Sontag- Bouchard,41.8432862,-72.4578246
45,5358,"Boston, Atlantic Ave. (Bus Station)",Jim Croteau,Crystal Miele,617-345-0382,"700 Atlantic Ave., Boston, MA, Boston, MA, Boston, MA, Boston, MA, Boston, MA",Boston,MA,2210,Ramon Luciano,42.3518427,-71.0550229
46,5361,Middletown,Jim Croteau,Dilyan Petrov,401-849-1120,"401 West Main Road, Middletown, RI, Middletown, RI, Middletown, RI, Middletown, RI, Middletown, RI",Middletown,RI,2842,Open,41.5160076,-71.3010372
47,5370,Foxboro,Jim Croteau,Meg Nelson,508-543-2342,"211 North Street, Foxboro, MA, Foxboro, MA, Foxboro, MA, Foxboro, MA, Foxboro, MA",Foxboro,MA,2035,Kelly Ann Hourihan,42.1028391,-71.2586613
48,5373,"Boston X, Med. Ctr.",Jim Croteau,Crystal Miele,617-534-0139,"850 Harrison Ave., Boston, MA, Boston, MA, Boston, MA, Boston, MA, Boston, MA",Boston,MA,2118,Ricardo Diaz,42.3344401,-71.0740787
49,5900,"Ludlow, Mass Pike",Jim Croteau,Donna Brunton,413-589-9321,"Milepost Marker 60, Mass Pke Pl, Ludlow, MA, Ludlow, MA, Ludlow, MA, Ludlow, MA, Ludlow, MA",Ludlow,MA,1056,Open,42.160663,-72.444825
50,8010,Groton,Bob Dooley,Gerry Becker,(860) 446-8263,"587 Long Hill Road, Groton, CT, Groton, CT, Groton, CT, Groton, CT, Groton, CT",Groton,CT,6340,,41.351327,-72.057451
51,8014,Middleborough,Bob Dooley,Jay Howland,(508) 947-9622,"422 West Grove Street, Middleborough, MA, Middleborough, MA, Middleborough, MA, Middleborough, MA, Middleborough, MA",Middleborough,MA,2346,,41.896491,-70.9489913
52,8015,Bridgewater II,Bob Dooley,Jay Howland,(508) 697-5500,"3 Broad Street, Bridgewater, MA, Bridgewater, MA, Bridgewater, MA, Bridgewater, MA, Bridgewater, MA",Bridgewater,MA,2324,,41.9903756,-70.9752544
53,8023,Fitchburg,Bob Dooley,Jon Howland,(978) 343-9471,"516 John Fitch Highway, Fitchburg, MA, Fitchburg, MA, Fitchburg, MA, Fitchburg, MA, Fitchburg, MA",Fitchburg,MA,1420,,42.5843804,-71.7759187
54,8033,Westerly,Bob Dooley,Jim Becker,(401) 596-6363,"85 Granite Street, Westerly, RI, Westerly, RI, Westerly, RI, Westerly, RI, Westerly, RI",Westerly,RI,2891,,41.3740502,-71.8210572
55,8040,South Attleborough,Bob Dooley,Brian McLaughlin,(508) 399-6580,"15 Highland Avenue, South Attleborough, MA, South Attleborough, MA, South Attleborough, MA, South Attleborough, MA, South Attleborough, MA",South Attleborough,MA,2703,,41.919822,-71.358577
56,8047,Canton,Bob Dooley,Brian McLaughlin,(781) 821-4140,"351 Turnpike Street, Canton, MA, Canton, MA, Canton, MA, Canton, MA, Canton, MA",Canton,MA,2021,,42.174081,-71.1123712
57,8058,Mansfield,Bob Dooley,Brian McLaughlin,(508) 339-8603,"260 Chauncy Street, Mansfield, MA, Mansfield, MA, Mansfield, MA, Mansfield, MA, Mansfield, MA",Mansfield,MA,2048,,42.0303958,-71.2311878
58,8064,Stoughton,Bob Dooley,Brian McLaughlin,(781) 341-1021,"2137 Central Street, Stoughton, MA, Stoughton, MA, Stoughton, MA, Stoughton, MA, Stoughton, MA",Stoughton,MA,2072,,42.134402,-71.1415188
59,8083,Northampton,Bob Dooley,Don Obitz,(413) 584-9776,"388 King Street, Northampton, MA, Northampton, MA, Northampton, MA, Northampton, MA, Northampton, MA",Northampton,MA,1060,,42.3373151,-72.6376631
60,8084,Leominster I,Bob Dooley,Jon Howland,(978) 534-9722,"231 Mill Street, Leominster, MA, Leominster, MA, Leominster, MA, Leominster, MA, Leominster, MA",Leominster,MA,1453,,42.5327403,-71.7446824
61,8106,Wakefield,Bob Dooley,Chip McLaughlin,(401) 789-2050,"71 Tower Hill, Wakefield, RI, Wakefield, RI, Wakefield, RI, Wakefield, RI, Wakefield, RI",Wakefield,RI,2879,,41.442013,-71.483957
62,8110,Holyoke,Bob Dooley,Don Obitz,(413) 532-7370,"2175 Northampton Street, Holyoke, MA, Holyoke, MA, Holyoke, MA, Holyoke, MA, Holyoke, MA",Holyoke,MA,1040,,42.188338,-72.630019
63,8112,South Easton,Bob Dooley,Brian McLaughlin,(508) 238-7008,"646 Washington Street, South Easton, MA, South Easton, MA, South Easton, MA, South Easton, MA, South Easton, MA",South Easton,MA,2375,,42.049364,-71.083537
64,8120,Portland,Bob Dooley,Jeff Howland,(207) 772-0502,"275 St. John Street, Portland, ME, Portland, ME, Portland, ME, Portland, ME, Portland, ME",Portland,ME,4101,,43.664761,-70.298771
65,8126,Gardner,Bob Dooley,Jon Howland,(978) 632-7533,"43 Union Squre, Gardner, MA, Gardner, MA, Gardner, MA, Gardner, MA, Gardner, MA",Gardner,MA,1440,,42.566775,-71.982664
66,8127,South Portland,Bob Dooley,Jeff Howland,(207) 772-6664,"390 Western Avenue, South Portland, ME, South Portland, ME, South Portland, ME, South Portland, ME, South Portland, ME",South Portland,ME,4106,,43.641438,-70.32787
67,8164,West Springfield,Bob Dooley,Don Obitz,(413) 737-6796,"1067 Riverdale Street, West Springfield, MA, West Springfield, MA, West Springfield, MA, West Springfield, MA, West Springfield, MA",West Springfield,MA,1089,,42.1329947,-72.6255032
68,8167,Westfield,Bob Dooley,Don Obitz,(413) 562-1514,"291 East Main Street, Westfield, MA, Westfield, MA, Westfield, MA, Westfield, MA, Westfield, MA",Westfield,MA,1085,,42.1137688,-72.727501
69,8190,Lewiston,Bob Dooley,Jeff Howland,(207) 786-4272,"1042 Lisbon Street, Lewiston, ME, Lewiston, ME, Lewiston, ME, Lewiston, ME, Lewiston, ME",Lewiston,ME,4240,,44.080373,-70.194981
70,8246,Auburn,Bob Dooley,Jon Howland,(508) 832-5698,"695 Southbridge Street, Auburn, MA, Auburn, MA, Auburn, MA, Auburn, MA, Auburn, MA",Auburn,MA,1501,,42.1836994,-71.8581731
71,8254,North Haven,Bob Dooley,Linda Hicks,(203) 239-4833,"158 Washington Avenue, North Haven, CT, North Haven, CT, North Haven, CT, North Haven, CT, North Haven, CT",North Haven,CT,6473,,41.3924742,-72.8588235
72,8330,Worcester I,Bob Dooley,Pete Oehmsen,(508) 363-3791,"540 Massasoit Avenue, Worcester, MA, Worcester, MA, Worcester, MA, Worcester, MA, Worcester, MA",Worcester,MA,1604,,42.226028,-71.762059
73,8391,Chicopee,Bob Dooley,Don Obitz,(413) 533-9486,"1606 Memorial Drive, Chicopee, MA, Chicopee, MA, Chicopee, MA, Chicopee, MA, Chicopee, MA",Chicopee,MA,1013,,42.206687,-72.571067
74,8399,Bridgewater II,Bob Dooley,Jay Howland,(508) 697-7742,"1440 Pleasant Street, Bridgewater, MA, Bridgewater, MA, Bridgewater, MA, Bridgewater, MA, Bridgewater, MA",Bridgewater,MA,2324,,41.9677461,-71.0217102
75,8401,Springfield,Bob Dooley,Don Obitz,(413) 543-5278,"1465 Boston Post Road, Springfield, MA, Springfield, MA, Springfield, MA, Springfield, MA, Springfield, MA",Springfield,MA,1129,,42.141376,-72.494371
76,8402,Worcester II,Bob Dooley,Pete Oehmsen,(508) 438-0201,"101 Highland Street, Worcester, MA, Worcester, MA, Worcester, MA, Worcester, MA, Worcester, MA",Worcester,MA,1609,,42.6910302,-72.0394427
77,8403,Raynham II,Bob Dooley,Michael Shea,(508) 802-6120,"995 Broadway, Raynham, MA, Raynham, MA, Raynham, MA, Raynham, MA, Raynham, MA",Raynham,MA,2767,,41.9544139,-71.0696867
78,8404,East Wareham,Bob Dooley,Jay Howland,(508) 273-0135,"3020 Cranberry Highway, Route 28, East Wareham, MA, East Wareham, MA, East Wareham, MA, East Wareham, MA, East Wareham, MA",East Wareham,MA,2538,,41.748077,-70.726415
79,8733,Auburn,Bob Dooley,Jeff Howland,(207) 783-6334,"213 Center Street, Auburn, ME, Auburn, ME, Auburn, ME, Auburn, ME, Auburn, ME",Auburn,ME,4210,,44.109933,-70.225451
80,8734,Greenfield,Bob Dooley,Don Obitz,(413) 774-2106,"68 Mohawk Trail, Greenfield, MA, Greenfield, MA, Greenfield, MA, Greenfield, MA, Greenfield, MA",Greenfield,MA,1301,,42.5846693,-72.6147077
81,8735,Windsor Locks (aka Bradley Airport),Bob Dooley,George Michell,(860)254-5116,"11 Schoephoester Rd., Bradley Airport Terminal A, Windsor Locks, CT, Windsor Locks, CT, Windsor Locks, CT, Windsor Locks, CT, Windsor Locks, CT",Windsor Locks,CT,6096,,41.735918,-72.434812
82,8736,Biddeford,Bob Dooley,Jeff Howland,(207) 282-6870,"417 Alfred Street, Biddeford, ME, Biddeford, ME, Biddeford, ME, Biddeford, ME, Biddeford, ME",Biddeford,ME,4005,,43.480965,-70.481186
